"","university_name","lon","lat"
"235","Yonsei University",126.938572,37.565784
"236","Kyushu University",130.4250445,33.6266584
"237","Mines ParisTech",2.339632,48.845585
"238","Case Western Reserve University",-81.6083838,41.5043413
"239","Tokyo Institute of Technology",139.6835302,35.6051229
"240","Uppsala University",17.6300093,59.8509005
"241","Nagoya University",136.967573,35.153491
"242","University of São Paulo",-46.7307891,-23.5613991
"243","Technion – Israel Institute of Technology",35.0231271,32.7767783
"244","University of Nottingham",-1.1951582,52.938636
"245","Korea Advanced Institute of Science and Technology (KAIST)",127.3640249,36.3693921
"246","Université libre de Bruxelles",4.3822222,50.8132068
"247","Indiana University-Purdue University Indianapolis",-86.176177,39.774162
"248","University of Göttingen",9.9374004,51.5408116
"249","University of Massachusetts Medical School",-71.7610714,42.2772479
"250","Joseph Fourier University",4.915197,44.91763
"251","University of Liverpool",-2.9655722,53.405936
"252","Dresden University of Technology",13.7289964,51.0292734
"253","Karlsruhe Institute of Technology",8.4170303,49.0119199
"254","University of California, Riverside",-117.3280644,33.9737055
"255","University of Tennessee, Knoxville",-83.9294564,35.9544013
"256","Complutense University of Madrid",-3.7285872,40.4478246
"257","RWTH Aachen University",6.0656869,50.7800778
"258","North Carolina State University",-78.6820946,35.7846633
"259","University of Texas Health Science Center at San Antonio",-98.5756525,29.5078202
"260","Paul Sabatier University - Toulouse III",1.4688585,43.5603781
"261","University of Science and Technology of China",117.26217,31.838698
"262","Norwegian University of Science and Technology",10.402077,63.419499
"263","Durham University",-1.5782029,54.7649859
"264","University of Naples Federico II",14.2578058,40.845492
"265","Rensselaer Polytechnic Institute",-73.6788026,42.730172
"266","Umeå University",20.3116101,63.8215945
"267","University of Louisville",-85.7601557,38.2150452
"268","University of Porto",-8.6156998,41.1465479
"269","University of Liège",5.559064,50.5830803
"270","Vita-Salute San Raffaele University",9.26735,45.506867
"271","University of Navarra",-1.6582784,42.8024726
"272","St George's, University of London",-0.1745034,51.4271937
"273","Technical University of Berlin",13.3269446,52.5125322
"274","Eindhoven University of Technology",5.4907148,51.4486098
"275","Ben-Gurion University of the Negev",34.801461,31.262218
"276","University of Oklahoma - Norman Campus",-97.4457137,35.2058936
"277","University of Southern Denmark",10.4280674,55.3706746
"278","San Diego State University",-117.0718893,32.7757217
"279","Simon Fraser University",-122.9198833,49.2780937
"280","University of Eastern Finland",29.744203,62.603598
"281","Saarland University",7.040975,49.2550284
"282","Pompeu Fabra University",2.1790535,41.3793687
"283","Pontifical Catholic University of Chile",-70.6407933,-33.4411279
"284","University of Bari Aldo Moro",16.8684745,41.1205546
"285","University of Delhi",77.1638282,28.5842523
"286","Chonnam National University",NA,NA
"287","Catholic University of the Sacred Heart",9.1771785,45.4621325
"288","Xi'an Jiaotong University",108.98371,34.250575
"289","Kyung Hee University",127.052544,37.5961951
"290","Chalmers University of Technology",11.9777584,57.6883684
"291","University of Twente",6.8524128,52.2410326
"292","Swedish University of Agricultural Sciences",17.6628688,59.814947
"293","Chiba University",140.1024122,35.6262467
"294","Kumamoto University",130.7278725,32.8140382
"295","Aalto University",24.827682,60.1866693
"296","Chonbuk National University",127.1293628,35.8468291
"297","University of Arkansas for Medical Sciences",-92.3199689,34.748553
"298","Gyeongsang National University",128.098095,35.15404
"299","Technical University of Madrid",-3.7192798,40.4486372
"300","Jagiellonian University",19.9341074,50.0609623
"301","Bielefeld University",8.4963449,52.0354177
"302","Juntendo University",139.7608345,35.7021299
"303","Niigata University",138.942539,37.86701
"304","Texas Tech University (TTU)",-101.8782822,33.5842591
"305","Nihon University",139.7636583,35.6975498
"306","Osaka City University",135.505417,34.5919232
"307","University of the Basque Country",-2.673645,42.838485
"308","Nagasaki University",129.8646586,32.7861288
"309","University of Hawaii at Manoa",-157.818968,21.3
"310","Martin Luther University of Halle-Wittenberg",11.9695316,51.4861319
"311","University of Nice Sophia Antipolis",7.2896737,43.7099458
"312","University of Hull",-0.3673875,53.7714552
"313","Catholic University of Korea",127.0043275,37.5859218
"314","Yokohama City University",139.618239,35.33385
"315","SUNY Downstate Medical Center",-73.945734,40.6552459
"316","Yokohama National University",139.592022,35.4729252
"317","Graduate University for Advanced Studies",139.608389,35.261095
"318","University of Tromsø - The Arctic University of Norway",18.9712162,69.6798027
"319","Shinshu University",137.9789403,36.2500574
"320","University of Canterbury",172.5839233,-43.5235375
"321","Royal Holloway, University of London",-0.5630625,51.425673
"322","City University London",-0.1025445,51.5278249
"323","Dongguk University",127.0007751,37.5575367
"324","University Lille 1: Sciences and Technologies",3.138063,50.609049
"325","International School for Advanced Studies",13.7739595,45.6802986
"326","Inha University",126.653116,37.449627
"327","Deakin University",145.1149452,-37.8477381
"328","National Polytechnic Institute of Toulouse",1.4544087,43.6020384
"329","Sogang University",126.9407529,37.5513365
"330","Plymouth University",-4.1406465,50.3745284
"331","University of Portsmouth",-1.0935686,50.7951287
"332","Nagoya City University",136.934405,35.138965
"333","Griffith University",153.053674,-27.5536791
"334","Semmelweis University",19.0673266,47.4873553
"335","Queensland University of Technology",153.0284231,-27.477356
