"university_name","lon","lat"
"Miami University",-84.7308768,39.5105334
"Middlesex University",-0.2282466,51.5893495
"Moscow Institute of Physics and Technology",37.51821,55.930215
"University of Murcia",-1.1694307,38.0182593
"Nagasaki University",129.8646586,32.7861288
"University of Nairobi",36.816353,-1.280701
"National Chengchi University",121.576074,24.987516
"National Chung Cheng University",120.4728831,23.5633761
"National Chung Hsing University",120.6748697,24.123715
"National Taipei University of Technology",121.5354983,25.0422138
"National University of Córdoba",-64.1855702,-31.4354855
"National University of Science and Technology (MISiS)",37.6090761,55.728306
"National University of Sciences and Technology",72.9931107,33.6426397
"Niigata University",138.942539,37.86701
"Northumbria University",-1.607595,54.9768904
"Northwestern Polytechnical University",108.9137925,34.2436153
"Nottingham Trent University",-1.1524723,52.9579294
"Oakland University",-83.2073803,42.6695562
"Ocean University of China",120.335285,36.061242
"Ohio University",-82.1013889,39.324358
"Okayama University",133.9222225,34.6873868
"Osaka Prefecture University",135.5069805,34.5454313
"University of Pardubice",15.7694,50.04816
"Paris-Sorbonne University – Paris 4",2.3432774,48.8484556
"University of Patras",21.7871827,38.28657
"University of Pécs",18.237722,46.0741828
"Pontifical Catholic University of Paraná",-49.2520094,-25.4510637
"Pontifical Catholic University of Rio Grande do Sul (PUCRS)",-51.1743354,-30.0606457
"Pontifical Catholic University of Valparaíso",-71.605872,-33.044407
"Prince of Songkla University",100.4992064,7.0064179
"Qatar University",51.4871693,25.3769499
"Rio de Janeiro State University (UERJ)",-43.236132,-22.911174
"Rochester Institute of Technology",-77.6705143,43.0861017
"Saitama University",139.608483,35.8654477
"University of Salford",-2.270755,53.484586
"University of Santiago, Chile (USACH)",-70.6861315,-33.4517605
"São Paulo State University (UNESP)",-46.6409474,-23.5479026
"Savitribai Phule Pune University",73.824618,18.552338
"University of Science and Technology Beijing",116.357096,39.990249
"Sejong University",127.075092,37.549035
"Shahid Beheshti University",51.3946864,35.7990628
"Shanghai University",121.3930893,31.3149209
"Shantou University",116.639943,23.411124
"Sheffield Hallam University",-1.4660659,53.3790519
"Shinshu University",137.9789403,36.2500574
"Showa University",139.7037786,35.6082833
"Sichuan University",104.1872595,30.8232956
"University of Silesia in Katowice",19.0287157,50.2607501
"Slovak University of Technology in Bratislava",17.1177,48.154573
"Sogang University",126.9407529,37.5513365
"Sophia University",139.732278,35.682982
"University of South Africa",28.1992637,-25.7676588
"Southern Federal University",39.728334,47.224719
"University of Southern Mississippi",-89.3356963,31.3303296
"University of Southern Queensland",151.9311441,-27.6029207
"Suez Canal University",32.269729,30.620533
"Sultan Qaboos University",58.1730322,23.5909657
"Suranaree University of Technology",102.0201115,14.881406
"University of Szeged",20.1461195,46.2501561
"Taipei Medical University",121.5616183,25.0253544
"Taras Shevchenko National University of Kyiv",30.5104024,50.4420868
"Technical University of Madrid",-3.7192798,40.4486372
"University of Tehran",51.386103,35.7286849
"University of Texas at El Paso",-106.5046216,31.7708544
"Texas Tech University",-101.8782822,33.5842591
"Tokai University",139.6845412,35.6644464
"Tokushima University",134.559832,34.070001
"Tokyo University of Marine Science and Technology",139.7470855,35.6268386
"Tokyo University of Science",139.741398,35.699399
"Tomsk State University",84.9478675,56.4694917
"Tottori University",134.1733411,35.5150797
"Toyohashi University of Technology",137.4086346,34.7017563
"Universiti Kebangsaan Malaysia",101.7774225,2.929997
"Universiti Putra Malaysia",101.71629,2.991686
"Universiti Sains Malaysia",100.3025177,5.3559337
"Universiti Teknologi MARA",101.5037611,3.0696089
"Ural Federal University",60.653668,56.844087
"V.N. Karazin Kharkiv National University",36.228139,50.004537
"Vilnius University",25.2876469,54.6825757
"Warsaw University of Technology",21.0080857,52.2212012
"University of West Bohemia",13.351554,49.723644
"University of the West of England",-2.5483131,51.5017572
"West University of Timişoara",21.2319146,45.7471643
"University of Westminster",-0.1429409,51.5169302
"Xidian University",108.837221,34.128921
"Yeungnam University",128.7575746,35.8322424
"Yıldız Technical University",29.0106553,41.0520861
"Yokohama City University",139.618239,35.33385
"Yokohama National University",139.592022,35.4729252
