"world_rank","university_name","national_rank","total_score","alumni","award","hici","ns","pub","pcp","year","lon","lat"
"90","McMaster University","4",24.9,16.6,19.3,22.2,15.9,43.5,23.9,2005,-81.0261039,34.0026819
"90","University of Freiburg","5",24.9,25.1,21.4,17.6,18.2,39.5,23.2,2005,7.8493126,48.0028354
"92","University of Strasbourg","3",24.7,29.4,22.9,19.2,19.5,32.7,22.4,2005,-117.7779478,33.6833384
"93","Ecole Normale Superieure - Paris","4",24.6,47.8,25,13.6,18.1,27.2,23.3,2005,2.3451689,48.8422058
"93","Stockholm University","3",24.6,29.4,30.2,15.7,14.3,35.3,18.9,2005,-81.5636262,41.4685433
"93","Tokyo Institute of Technology","5",24.6,16.6,0,22.2,22.5,50.6,31.5,2005,139.6835302,35.6051229
"93","University of Utah","52",24.6,0,0,30.4,31.4,45.5,24.8,2005,-111.8884532,33.4249307
"97","University of Roma - La Sapienza","1",24.5,16.6,15.8,11.1,21.8,54.6,15.1,2005,12.5144384,41.9037626
"98","University of Birmingham","11",24.4,25.1,11.2,22.2,13.4,47,24.5,2005,-1.93668,52.45126
"99","Lund University","4",24.3,29.4,0,24.8,19.4,50.1,18.1,2005,-87.7106499,41.9722799
"100","Tufts University","53",23.9,18.8,17.1,20.8,19.1,37.4,25.2,2005,-71.120482,42.4036848
"101-152","Aarhus University","2",NA,15.4,19.3,7.9,22.3,41.6,22.4,2005,12.1021324,55.695402
"101-152","Arizona State University - Tempe","54-71",NA,0,14.4,20.8,26.3,41.9,17.5,2005,-111.9280527,33.4242399
"101-152","Baylor College of Medicine","54-71",NA,0,0,17.6,34.5,44,24.9,2005,-95.3961698,29.7104397
"101-152","Catholic University of Leuven","1-4",NA,0,0,19.2,16,48.7,23.1,2005,4.7002953,50.8779545
"101-152","Catholic University of Louvain","1-4",NA,14,13.9,13.6,8.3,44.7,26.9,2005,4.6155909,50.6696875
"101-152","College of France","5",NA,15.4,37.4,11.1,11.7,16.9,19.3,2005,2.3454896,48.8488839
"101-152","Dartmouth College","54-71",NA,24.3,0,20.8,22,33,29.1,2005,-91.6514459,41.92479
"101-152","Emory University","54-71",NA,0,0,28.3,19,48.4,21.6,2005,-80.627626,28.0658079
"101-152","Georgia Institute of Technology","54-71",NA,16.6,0,23.6,19,43.9,25.8,2005,-84.3988806,33.7784626
"101-152","Ghent University","1-4",NA,8.9,15.8,15.7,9.1,48.8,27.2,2005,-123.1884423,49.2669654
"101-152","Hokkaido University","6-9",NA,0,0,15.7,14.1,53.8,21.5,2005,141.340013,43.0779575
"101-152","Kyushu University","6-9",NA,0,0,13.6,21.3,52.8,21.6,2005,130.4250445,33.6266584
"101-152","Mayo Medical School","54-71",NA,0,0,27.2,6.2,50.2,24.4,2005,-92.4666601,44.0225485
"101-152","Nagoya University","6-9",NA,0,14.4,15.7,20.5,52.3,25.1,2005,136.967573,35.153491
"101-152","National University of Singapore","1",NA,0,0,15.7,13.8,56.7,25.7,2005,7.4674717,45.7399332
"101-152","North Carolina State University - Raleigh","54-71",NA,0,0,29.4,17.8,44.3,19,2005,-78.6820946,35.7846633
"101-152","Oregon State University","54-71",NA,15.4,0,24.8,25.7,36.6,27.1,2005,-123.2794442,44.5637806
"101-152","Seoul National University","1",NA,0,0,7.9,14.6,61.2,26.9,2005,126.952712,37.48121
"101-152","State University of New York at Stony Brook","54-71",NA,0,0,17.6,31.4,40.7,20.5,2005,-73.1233889,40.9123761
"101-152","Technion-Israel Institute of Technology","2-4",NA,18.8,23.5,13.6,14.1,42.1,22.8,2005,35.0231271,32.7767783
