"world_rank","university_name","country","teaching","international","research","citations","income","total_score","num_students","student_staff_ratio","international_students","female_male_ratio","year","lon","lat","bar_count"
104,"University of Zurich","Switzerland",49.5,"90.4",31.5,85.4,"44.0","57.8","26,583",6.5,"19%","57 : 43",2016,8.5595886,47.3588302,198
106,"Aarhus University","Denmark",36.9,"76.8",50.7,79.8,"68.3","57.7","23,895",13.6,"14%","54 : 46",2016,12.1021324,55.695402,NA
106,"University of California, Irvine","United States of America",39.9,"59.2",41.8,91.6,"48.9","57.7","26,614",16.1,"16%","52 : 48",2016,-117.853022,33.664081,112
106,"University of Mannheim","Germany",34.5,"64.6",47.7,86.9,"85.3","57.7","11,761",85.8,"15%","55 : 45",2016,8.4622333,49.4837106,187
108,"University of Notre Dame","United States of America",47.6,"47.6",48.1,81.7,"33.7","57.6","11,829",13.8,"10%","44 : 56",2016,-86.2377772,41.6973401,80
109,"University of Western Australia","Australia",33.4,"92.6",46.1,83.6,"64.5","57.5","20,851",20.7,"27%","50 : 50",2016,150.7397635,-33.7699666,17
110,"RWTH Aachen University","Germany",49.4,"54.1",56.3,63.2,"98.1","57.2","37,917",27.6,"16%","31 : 69",2016,6.0656869,50.7800778,110
110,"University of Southampton","United Kingdom",39.8,"88.4",43.6,82,"37.5","57.2","20,925",13.5,"29%","53 : 47",2016,-1.3962068,50.9340275,182
112,"Scuola Normale Superiore di Pisa","Italy",54.2,"46.3",53.1,67.2,"52.0","57.1","462",16.5,"5%","28 : 72",2016,10.4003296,43.7196006,200
113,"University of Montreal","Canada",46.3,"84.2",45.5,69.6,"92.6","57.0","38,264",20.3,"25%","57 : 43",2016,-90.350862,38.6816147,69
113,"Pierre and Marie Curie University","France",52.8,"74.1",32.7,82.9,"37.4","57.0","27,862",8.7,"18%","48 : 52",2016,2.357499,48.8471036,199
113,"Purdue University","United States of America",50.2,"66.4",57.7,63.2,"-","57.0","39,256",18.1,"22%","42 : 58",2016,-87.0541793,40.4533683,1
116,"Pohang University of Science and Technology","South Korea",49.1,"33.7",47.1,76.7,"100.0","56.9","3,055",10.1,"4%","20 : 80",2016,129.3434808,36.0190178,34
117,"University of Maryland, College Park","United States of America",45,"43.5",42.1,88.2,"32.3","56.7","31,331",8.4,"9%","48 : 52",2016,-76.9367935,38.9920364,36
118,"Ghent University","Belgium",42.1,"54.2",54.5,71.2,"88.3","56.6","32,166",34.1,"9%","57 : 43",2016,-123.1884423,49.2669654,200
